特征,重要性
文化程度编码,0.34641904259520123
A行为类型,0.2844244436591086
C1次数,0.2817293228635048
C5联系上线,0.2753028918346008
从犯+,0.26589791908365024
前科1名称,0.25985030151101274
C4介绍他人,0.25685714876111115
被告人人数,0.25507757647678786
前科数量,0.2402897323512132
O上游犯罪,0.23226312482032768
前科2名称,0.22702915978817778
坦白 +,0.2269259591166544
是否再犯,0.22425462377304536
B参与时点,0.21632905672667216
自首+,0.2106449872106867
退出+,0.20238544381812262
C2转出资金（千元）,0.19492335599775512
D 竞合关系,0.19324070849083733
认罪认罚从宽,0.19230395898888417
C3非法获利（千元）,0.14625040701679926
前科3名称,0.10727193390162074
